LocationID,Borough,Zone,service_zone,centroid_lat,centroid_lon
1,EWR,Newark Airport,Unknown,40.69183120640153,-74.17400027276302
2,Queens,Jamaica Bay,Unknown,40.61674529165981,-73.83129854302207
3,Bronx,Allerton/Pelham Gardens,Unknown,40.864473684775454,-73.84742223236715
4,Manhattan,Alphabet City,Unknown,40.7237521415848,-73.97696825691766
5,Staten Island,Arden Heights,Unknown,40.552659286945634,-74.18848410184924
6,Staten Island,Arrochar/Fort Wadsworth,Unknown,40.60032414603461,-74.0717705589513
7,Queens,Astoria,Unknown,40.76149256216373,-73.9196943194606
8,Queens,Astoria Park,Unknown,40.778558653750736,-73.92308615750753
9,Queens,Auburndale,Unknown,40.75103502557229,-73.7879488777789
10,Queens,Baisley Park,Unknown,40.678953310115254,-73.79098635986959
11,Brooklyn,Bath Beach,Unknown,40.604272840030774,-74.00748815801177
12,Manhattan,Battery Park,Unknown,40.7029458349847,-74.01556351255897
13,Manhattan,Battery Park City,Unknown,40.712038157074474,-74.01607915192925
14,Brooklyn,Bay Ridge,Unknown,40.624834923608205,-74.02989237418788
15,Queens,Bay Terrace/Fort Totten,Unknown,40.78333304726096,-73.78597227877705
16,Queens,Bayside,Unknown,40.76273837544242,-73.77342181890134
17,Brooklyn,Bedford,Unknown,40.69150749488065,-73.94990503507508
18,Bronx,Bedford Park,Unknown,40.867682456075414,-73.89018328872034
19,Queens,Bellerose,Unknown,40.73548677976339,-73.72665537528711
20,Bronx,Belmont,Unknown,40.857779675441584,-73.88586748106962
21,Brooklyn,Bensonhurst East,Unknown,40.601429439835165,-73.98353709672233
22,Brooklyn,Bensonhurst West,Unknown,40.612218257805615,-73.99525857986231
23,Staten Island,Bloomfield/Emerson Hill,Unknown,40.60644770102759,-74.1708868815526
24,Manhattan,Bloomingdale,Unknown,40.80197049389964,-73.96547951516968
25,Brooklyn,Boerum Hill,Unknown,40.68563374132064,-73.98611382213664
26,Brooklyn,Borough Park,Unknown,40.63094965524548,-73.98866123078288
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Unknown,40.55913327946765,-73.90690832237595
28,Queens,Briarwood/Jamaica Hills,Unknown,40.71159635794509,-73.80872901637518
29,Brooklyn,Brighton Beach,Unknown,40.58092197193381,-73.96121676866852
30,Queens,Broad Channel,Unknown,40.60368744213567,-73.82192695679416
31,Bronx,Bronx Park,Unknown,40.8577466809159,-73.87547595053037
32,Bronx,Bronxdale,Unknown,40.86400220602363,-73.8649009987672
33,Brooklyn,Brooklyn Heights,Unknown,40.69579822121126,-73.99525011996623
34,Brooklyn,Brooklyn Navy Yard,Unknown,40.70085573851714,-73.97118869233036
35,Brooklyn,Brownsville,Unknown,40.664003117925986,-73.91025783136135
36,Brooklyn,Bushwick North,Unknown,40.70052219951919,-73.91771053131578
37,Brooklyn,Bushwick South,Unknown,40.69499431844211,-73.92224002165723
38,Queens,Cambria Heights,Unknown,40.69434146723171,-73.73555427058822
39,Brooklyn,Canarsie,Unknown,40.63803713911706,-73.8997349566939
40,Brooklyn,Carroll Gardens,Unknown,40.679199014097094,-73.99595619089148
41,Manhattan,Central Harlem,Unknown,40.80433394979461,-73.95129200243511
42,Manhattan,Central Harlem North,Unknown,40.818257861119235,-73.94077166756264
43,Manhattan,Central Park,Unknown,40.78247809974789,-73.96555356545916
44,Staten Island,Charleston/Tottenville,Unknown,40.52549458176382,-74.2335335493765
45,Manhattan,Chinatown,Unknown,40.71245931177948,-73.99815149899047
46,Bronx,City Island,Unknown,40.84908594313967,-73.78198714613217
47,Bronx,Claremont/Bathgate,Unknown,40.84274917609803,-73.90031590586486
48,Manhattan,Clinton East,Unknown,40.762252755319366,-73.98984464313301
