audit_month,total_rows,paradox_teleport_count,paradox_slave_labor_count,paradox_time_travel_count,trip_km_nulls,trip_km_zeros,trip_km_negatives,trip_km_mean,trip_km_std,trip_km_min,trip_km_p01,trip_km_p50,trip_km_p99,trip_km_p99.9,trip_km_max,duration_seconds_nulls,duration_seconds_zeros,duration_seconds_negatives,duration_seconds_mean,duration_seconds_std,duration_seconds_min,duration_seconds_p01,duration_seconds_p50,duration_seconds_p99,duration_seconds_p99.9,duration_seconds_max,duration_min_nulls,duration_min_zeros,duration_min_negatives,duration_min_mean,duration_min_std,duration_min_min,duration_min_p01,duration_min_p50,duration_min_p99,duration_min_p99.9,duration_min_max,base_passenger_fare_nulls,base_passenger_fare_zeros,base_passenger_fare_negatives,base_passenger_fare_mean,base_passenger_fare_std,base_passenger_fare_min,base_passenger_fare_p01,base_passenger_fare_p50,base_passenger_fare_p99,base_passenger_fare_p99.9,base_passenger_fare_max,driver_pay_nulls,driver_pay_zeros,driver_pay_negatives,driver_pay_mean,driver_pay_std,driver_pay_min,driver_pay_p01,driver_pay_p50,driver_pay_p99,driver_pay_p99.9,driver_pay_max,tips_nulls,tips_zeros,tips_negatives,tips_mean,tips_std,tips_min,tips_p01,tips_p50,tips_p99,tips_p99.9,tips_max,tolls_nulls,tolls_zeros,tolls_negatives,tolls_mean,tolls_std,tolls_min,tolls_p01,tolls_p50,tolls_p99,tolls_p99.9,tolls_max,congestion_surcharge_nulls,congestion_surcharge_zeros,congestion_surcharge_negatives,congestion_surcharge_mean,congestion_surcharge_std,congestion_surcharge_min,congestion_surcharge_p01,congestion_surcharge_p50,congestion_surcharge_p99,congestion_surcharge_p99.9,congestion_surcharge_max,airport_fee_nulls,airport_fee_zeros,airport_fee_negatives,airport_fee_mean,airport_fee_std,airport_fee_min,airport_fee_p01,airport_fee_p50,airport_fee_p99,airport_fee_p99.9,airport_fee_max,bcf_nulls,bcf_zeros,bcf_negatives,bcf_mean,bcf_std,bcf_min,bcf_p01,bcf_p50,bcf_p99,bcf_p99.9,bcf_max,cbd_congestion_fee_nulls,cbd_congestion_fee_zeros,cbd_congestion_fee_negatives,cbd_congestion_fee_mean,cbd_congestion_fee_std,cbd_congestion_fee_min,cbd_congestion_fee_p01,cbd_congestion_fee_p50,cbd_congestion_fee_p99,cbd_congestion_fee_p99.9,cbd_congestion_fee_max,sales_tax_nulls,sales_tax_zeros,sales_tax_negatives,sales_tax_mean,sales_tax_std,sales_tax_min,sales_tax_p01,sales_tax_p50,sales_tax_p99,sales_tax_p99.9,sales_tax_max,speed_kmh_nulls,speed_kmh_zeros,speed_kmh_negatives,speed_kmh_mean,speed_kmh_std,speed_kmh_min,speed_kmh_p01,speed_kmh_p50,speed_kmh_p99,speed_kmh_p99.9,speed_kmh_max,displacement_speed_kmh_nulls,displacement_speed_kmh_zeros,displacement_speed_kmh_negatives,displacement_speed_kmh_mean,displacement_speed_kmh_std,displacement_speed_kmh_min,displacement_speed_kmh_p01,displacement_speed_kmh_p50,displacement_speed_kmh_p99,displacement_speed_kmh_p99.9,displacement_speed_kmh_max,tortuosity_index_nulls,tortuosity_index_zeros,tortuosity_index_negatives,tortuosity_index_mean,tortuosity_index_std,tortuosity_index_min,tortuosity_index_p01,tortuosity_index_p50,tortuosity_index_p99,tortuosity_index_p99.9,tortuosity_index_max,total_rider_cost_nulls,total_rider_cost_zeros,total_rider_cost_negatives,total_rider_cost_mean,total_rider_cost_std,total_rider_cost_min,total_rider_cost_p01,total_rider_cost_p50,total_rider_cost_p99,total_rider_cost_p99.9,total_rider_cost_max,cost_per_km_nulls,cost_per_km_zeros,cost_per_km_negatives,cost_per_km_mean,cost_per_km_std,cost_per_km_min,cost_per_km_p01,cost_per_km_p50,cost_per_km_p99,cost_per_km_p99.9,cost_per_km_max,driver_revenue_share_nulls,driver_revenue_share_zeros,driver_revenue_share_negatives,driver_revenue_share_mean,driver_revenue_share_std,driver_revenue_share_min,driver_revenue_share_p01,driver_revenue_share_p50,driver_revenue_share_p99,driver_revenue_share_p99.9,driver_revenue_share_max,pay_per_hour_nulls,pay_per_hour_zeros,pay_per_hour_negatives,pay_per_hour_mean,pay_per_hour_std,pay_per_hour_min,pay_per_hour_p01,pay_per_hour_p50,pay_per_hour_p99,pay_per_hour_p99.9,pay_per_hour_max,total_wait_time_min_nulls,total_wait_time_min_zeros,total_wait_time_min_negatives,total_wait_time_min_mean,total_wait_time_min_std,total_wait_time_min_min,total_wait_time_min_p01,total_wait_time_min_p50,total_wait_time_min_p99,total_wait_time_min_p99.9,total_wait_time_min_max,driver_response_time_min_nulls,driver_response_time_min_zeros,driver_response_time_min_negatives,driver_response_time_min_mean,driver_response_time_min_std,driver_response_time_min_min,driver_response_time_min_p01,driver_response_time_min_p50,driver_response_time_min_p99,driver_response_time_min_p99.9,driver_response_time_min_max,weather_state_nulls,trip_archetype_nulls,borough_flow_type_nulls,is_bad_weather_nulls,is_bad_weather_count_true,is_extreme_weather_nulls,is_extreme_weather_count_true,is_generous_tip_nulls,is_generous_tip_count_true
2019-02-01,13056381,0,0,0,0,0,0,6.935217,6.7704935,0.160934,0.7885766,4.5383387,32.041958,47.52381,119.92801,0,0,0,1090.910681451468,716.2202009480084,60,187.0,914.0,3480.0,5092.0,14947,0,0,0,18.1818446908578,11.937003349134445,1.0,3.1166666666666667,15.233333333333333,58.0,84.86666666666666,249.11666666666667,0,0,0,14.452065,13.064223,0.1,2.04,10.28,64.34,110.6,282.52,0,0,0,14.302369,11.916062,0.01,2.83,10.52,61.79,99.65,199.8,0,11513972,0,0.36393738,1.4057311,0.0,0.0,0.0,5.0,15.0,100.0,0,12011739,0,0.51527995,2.2131064,0.0,0.0,0.0,5.76,23.45,49.4,0,7518087,0,0.9964152,1.2726872,0.0,0.0,0.0,2.75,2.75,2.75,0,13056381,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,236391,0,0.37201667,0.35697702,0.0,0.0,0.26,1.81,3.02,7.04,0,13056381,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,294780,0,1.2839142,1.1785308,0.0,0.0,0.91,5.76,9.72,24.52,0,0,0,21.316167457618537,10.446140289172453,1.0006259142426013,6.834469677565934,18.60337913583178,56.10417979104178,68.34330240885417,98.49160947297749,5345,853956,0,14.560351678468898,8.865171461410165,0.0,0.0,13.226707532877377,41.46204036215077,57.30470089202231,399.6081425593449,5345,0,0,16.328466,101.47129,0.0077480064,0.5695141,1.4465163,291.29053,1173.2089,11965.443,0,0,0,17.98363,16.506254,0.1,2.72,12.78,83.16,138.52,419.61002,0,0,0,3.487966,2.8959396,0.0057998975,0.59575444,2.833395,13.859433,27.536072,801.24725,0,0,0,1.1692158,1.36096,0.0007433939,0.5424601,0.9414304,3.8294575,13.439394,846.0,0,0,0,46.59951616819543,19.689206498918253,0.02291534003522425,17.27613904201313,42.732467651367195,118.67942353755093,179.83784031223607,2214.327392578125,0,0,0,5.090553396840978,3.2538449862703525,0.06666666666666667,0.9666666666666667,4.3,16.166666666666668,28.516666666666666,170.56666666666666,0,0,0,2.7970237579617203,3.0716618260649975,0.016666666666666666,0.08333333333333333,1.8666666666666667,13.483333333333333,24.28333333333333,137.58333333333334,0,0,0,0,2107990,0,6338,0,417996
2019-03-01,16731889,0,0,0,0,0,0,6.9785132,6.7699933,0.160934,0.7885766,4.602712,31.993677,46.976635,119.92801,0,0,0,1104.0104885945634,735.4299554022485,60,188.0,920.0,3604.0,5219.0,14928,0,0,0,18.40017480990939,12.257165923369064,1.0,3.1333333333333333,15.333333333333334,60.06666666666666,86.98333333333333,248.79999999999998,0,0,0,13.918846,12.840912,0.1,2.4,9.64,63.21,110.51,298.9,0,0,0,14.752161,12.215144,0.03,3.04,10.86,62.87,100.89,199.97,0,14776724,0,0.3611777,1.4028146,0.0,0.0,0.0,5.0,15.0,100.0,0,15368989,0,0.5251484,2.209583,0.0,0.0,0.0,5.76,23.45,49.95,0,9833961,0,0.9924899,1.2799951,0.0,0.0,0.0,2.75,2.75,2.75,0,16731889,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,311721,0,0.36211103,0.35381886,0.0,0.0,0.24,1.79,3.02,7.46,0,16731889,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,385311,0,1.2497613,1.1692669,0.0,0.0,0.86,5.69,9.76,26.48,0,0,0,21.27243810918027,10.281772178254311,1.0040298199929076,6.705583135286967,18.640354405278746,55.448518272574624,67.79162078529818,96.68744990700169,7586,1116775,0,14.611887216693484,8.756533728805767,0.0,0.0,13.38173254580683,41.13781555839207,56.572564442952476,398.4668324294599,7586,0,0,16.067686,96.173996,0.0077099823,0.5653856,1.4372054,284.85318,1065.383,11691.855,0,0,0,17.409534,16.277184,0.11,3.12,12.05,81.92,138.64,371.39,0,0,0,3.2792869,2.6381173,0.009081724,0.6758963,2.6444035,12.893852,26.04004,791.40094,0,0,0,1.2144172,1.3070707,0.00042066615,0.56707317,1.077957,3.435626,11.698276,344.16666,0,0,0,47.27925021522025,18.800579165436236,0.04174397093743252,17.6312856834028,43.15885620117187,116.33187922848366,175.23966544915822,1286.266094420601,5923,92,0,5.115068768922923,3.224389324836996,0.0,1.0333333333333332,4.333333333333333,15.833333333333334,26.933333333333334,575.6166666666667,21656,58,0,2.928003718839029,3.0060078142119426,0.0,0.1,2.0666666666666664,13.15,22.916666666666668,162.73333333333332,0,0,0,0,1600025,0,43266,0,552088
2019-04-01,15181141,0,0,0,0,0,0,6.9183955,6.6825757,0.160934,0.80467,4.554432,31.655718,46.268524,119.23599,0,0,0,1100.7077101780426,739.6939506245158,60,191.0,912.0,3649.0,5345.0,14894,0,0,0,18.345128502967373,12.328232510409924,1.0,3.183333333333333,15.2,60.81666666666666,89.08333333333333,248.23333333333332,0,0,0,14.727735,13.195791,0.1,2.22,10.5,64.89,111.76,292.53,0,0,0,14.731933,12.328511,0.01,3.11,10.72,63.29,101.41,199.98,0,13373759,0,0.38060173,1.4790471,0.0,0.0,0.0,6.13,15.0,100.0,0,13928684,0,0.5618478,2.2890313,0.0,0.0,0.0,6.12,23.45,49.72,0,8993542,0,0.99489397,1.2851738,0.0,0.0,0.0,2.75,2.75,2.75,0,15181141,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,279710,0,0.3798907,0.3623419,0.0,0.0,0.26,1.83,3.04,7.01,0,15181141,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,348454,0,1.3112527,1.1969291,0.0,0.0,0.93,5.79,9.79,24.42,0,0,0,21.275269477787344,10.308969186037471,1.0012984218588257,6.510122469130982,18.68233888045601,55.44985412920594,67.75081008227903,98.6743417432003,7208,961153,0,14.684229542080757,8.725725990462232,0.0,0.0,13.435155009175395,41.22605151440724,55.91833166173986,262.44342006854157,7208,0,0,13.832235,77.5286,0.01563451,0.56735605,1.43421,257.49442,661.4388,11838.305,0,0,0,18.35622,16.782272,0.1,2.95,12.99,84.020004,139.48,340.49,0,0,0,3.4461443,2.738023,0.0102821095,0.6784666,2.8188992,13.195529,26.102266,865.0604,0,0,0,1.1542882,1.2356142,0.00047017337,0.5407166,0.9713805,3.4554074,10.166667,488.75003,0,0,0,47.04623653875833,18.209614247088147,0.03896103809019188,17.744786864623514,42.91605602855414,113.88118573934725,170.2105220995451,2629.762214713997,10550,108,0,4.8265741448921355,2.989127796727127,0.0,0.9833333333333333,4.066666666666666,15.066666666666666,23.483333333333334,1103.7833333333333,29916,106,0,2.7970000247504743,2.863412688650584,0.0,0.1,1.9666666666666666,12.616666666666667,20.016666666666666,1100.5333333333333,0,0,0,0,698505,0,88287,0,479369
2019-05-01,15383051,0,0,0,0,0,0,6.9642262,6.814322,0.160934,0.7885766,4.5222454,31.945398,46.558205,119.63833,0,0,0,1137.396807109331,804.6363652169875,60,191.0,923.0,4030.0,5902.0,14884,0,0,0,18.956613451822182,13.41060608694898,1.0,3.183333333333333,15.383333333333333,67.16666666666667,98.36666666666666,248.06666666666666,0,0,0,16.427366,14.368283,0.1,2.88,11.77,70.73,120.7,278.32,0,0,0,15.725285,13.61485,0.09,3.26,11.21,69.25,110.12,199.99,0,13537600,0,0.4676689,1.7635573,0.0,0.0,0.0,8.94,17.96,100.0,0,14039537,0,0.6092374,2.4131076,0.0,0.0,0.0,6.12,23.45,49.95,0,9001465,0,1.0335091,1.3013542,0.0,0.0,0.0,2.75,2.75,2.75,0,15383051,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8511681,0,0.1821334,0.32246268,0.0,0.0,0.0,1.5,2.7,6.93,0,15383051,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,358623,0,1.4342573,1.2831022,0.0,0.0,1.02,6.24,10.51,25.64,0,0,0,20.866412256896247,10.192845475628562,1.0006259142426013,6.241749452622556,18.35877561265496,54.99276228553744,67.58677193728163,99.83166787302505,7140,984848,0,14.435368760282453,8.656531775165575,0.0,0.0,13.196892124700796,40.93746648770626,55.876240363487824,288.2575269605293,7140,0,0,13.780314,75.67853,0.028311148,0.56415117,1.4316013,257.49442,640.5173,11963.833,0,0,0,20.154171,18.01787,0.11,3.6399999,14.3,90.119995,148.98,338.12,0,0,0,3.8107874,2.9088733,0.008515971,0.8571255,3.102736,14.533485,28.541626,685.5581,0,0,0,1.0414654,1.0234907,0.0009288187,0.5109802,0.9058823,2.7827065,7.414634,374.8,0,0,0,48.55604041613398,19.365161241618075,0.04234841170508318,18.165643961151684,43.59598023622897,119.915588446698,179.66666221618652,2569.84616793119,6944,106,0,4.97966978681058,3.1447192978307847,0.0,1.0,4.2,15.966666666666667,26.316666666666666,432.93333333333334,27810,178,0,3.0030714236266305,2.993066322726499,0.0,0.11666666666666667,2.183333333333333,13.416666666666666,22.266666666666666,297.8,0,0,0,0,1457476,0,139049,0,511781
2019-06-01,13926600,0,0,0,0,0,0,6.876136,6.7167964,0.160934,0.80467,4.4578714,31.703999,46.236336,119.78317,0,0,0,1120.378618183907,788.4655299426175,60,195.0,912.0,3975.0,5916.0,14978,0,0,0,18.672976969731785,13.141092165711244,1.0,3.25,15.2,66.25,98.6,249.63333333333333,0,0,0,17.336304,14.946153,0.1,3.46,12.46,74.67,125.04,296.53,0,0,0,15.69284,13.597293,0.01,3.65,11.24,69.67,112.5,199.91,0,12187262,0,0.52512455,1.9324021,0.0,0.0,0.0,9.85,19.71,100.0,0,12746911,0,0.59636176,2.4094324,0.0,0.0,0.0,6.12,23.45,49.92,0,8150021,0,1.0529621,1.311922,0.0,0.0,0.0,2.75,2.75,2.75,0,13926600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13926600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13926600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,318285,0,1.4924756,1.3196074,0.0,0.0,1.07,6.52,10.82,30.69,0,0,0,20.898134103342628,10.156707742199277,1.0037077058382742,6.084825969332605,18.43646791780025,55.00961888940452,67.69945700883143,98.82486984793063,6712,880849,0,14.512699137170253,8.646490450917026,0.0,0.0,13.316429014036643,41.01610384489361,55.99358081817626,279.1064943586077,6712,0,0,13.718633,75.17025,0.02579567,0.5649556,1.4265894,259.10373,637.29865,11719.213,0,0,0,21.003227,18.546473,0.1,4.0,14.960001,93.48,152.83,351.71,0,0,0,3.9882903,2.9842622,0.008400511,0.986492,3.2689412,14.871964,29.258228,824.58167,0,0,0,0.97173935,0.8167673,0.00069613644,0.48903877,0.86675125,2.408861,6.150627,530.5,0,0,0,48.88108994709279,18.959389675906326,0.05611847107612985,19.443850083784625,43.63450983763248,120.52173614501952,180.1698054907457,1172.963815712067,5844,85,0,4.674318965387608,3.0870197950015696,0.0,0.9666666666666667,3.933333333333333,15.5,28.816666666666666,380.95,25063,171,0,2.7135125286266306,2.8771406262725394,0.0,0.1,1.95,12.883333333333333,23.583333333333332,181.7,0,0,0,0,898909,0,131340,0,474418
2019-07-01,12953745,0,0,0,0,0,0,6.799173,6.646708,0.160934,0.7885766,4.425685,31.510876,46.0754,118.68882,0,0,0,1065.6699630878948,731.1121192562556,60,190.0,876.0,3662.0,5387.0,14898,0,0,0,17.76116605146491,12.185201987604225,1.0,3.1666666666666665,14.6,61.03333333333333,89.78333333333333,248.29999999999998,0,0,0,16.287512,14.323277,0.1,3.06,11.63,72.08,121.28,292.3,0,0,0,15.028123,12.964759,0.1,3.56,10.78,66.88,108.58,199.71,0,11364481,0,0.4997801,1.8542657,0.0,0.0,0.0,9.31,19.11,100.0,0,11891493,0,0.577948,2.377573,0.0,0.0,0.0,6.12,23.45,49.92,0,7562451,0,1.0448072,1.3064454,0.0,0.0,0.0,2.75,2.75,2.75,0,12953745,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12953745,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12953745,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,288362,0,1.4061228,1.2645396,0.0,0.0,1.0,6.29,10.49,24.01,0,0,0,21.527687758351775,10.321974362513243,1.0008917615263169,6.260851736991636,18.97911226808144,55.41149323139715,67.70715359793917,99.90782928466797,6438,824288,0,14.959967593551115,8.83228735114046,0.0,0.0,13.786168278011818,41.652691660164066,56.957144876128254,266.4198355241255,6438,0,0,13.707592,75.68789,0.016578518,0.5587506,1.426342,257.49442,634.07996,11661.277,0,0,0,19.81617,17.820278,0.1,3.82,14.059999,90.45,148.08,324.26,0,0,0,3.795473,2.8883939,0.01205095,0.89752626,3.1043344,14.332008,28.31805,704.2151,0,0,0,1.0132653,0.95351535,0.0030635088,0.49531457,0.90154296,2.5735607,7.260274,551.3333,0,0,0,49.02572416162326,18.950145010416904,0.21181261952200148,19.537907128729977,43.819672553265676,120.81600494384767,181.34578990044997,2500.1142229352677,7375,115,0,4.308234167827224,2.8621426885337993,0.0,0.9166666666666666,3.6333333333333333,14.583333333333334,26.683333333333334,655.4666666666667,28474,143,0,2.3359819895974843,2.672766002177169,0.0,0.11666666666666667,1.5833333333333333,12.116666666666667,22.4,655.4666666666667,0,0,0,0,613379,0,259303,0,461811
2019-08-01,11224729,0,0,0,0,0,0,6.9515805,6.8036647,0.160934,0.80467,4.4900584,31.961493,46.381176,117.353065,0,0,0,1065.2281222112356,726.1751635443422,60,190.0,876.0,3635.0,5263.0,14965,0,0,0,17.753802036853926,12.102919392405063,1.0,3.1666666666666665,14.6,60.583333333333336,87.71666666666667,249.41666666666666,0,0,0,16.401968,14.196326,0.1,2.99,11.72,70.39,117.21,275.17,0,0,0,15.046464,12.97564,0.11,3.5,10.75,66.39,107.26,199.76,0,9832257,0,0.504414,1.8544147,0.0,0.0,0.0,9.39,18.76,100.0,0,10250654,0,0.6115323,2.4273813,0.0,0.0,0.0,6.12,23.45,49.72,0,6563972,0,1.0429049,1.3061856,0.0,0.0,0.0,2.75,2.75,2.75,0,11224729,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11224729,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11224729,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,243030,0,1.4172337,1.2542831,0.0,0.0,1.01,6.16,10.16,28.01,0,0,0,21.81659450160659,10.263283093189912,1.00046876274061,6.725234195916115,19.239203075193007,55.39584084955185,67.81019811964221,99.26589393392118,6162,705672,0,15.136562929452683,8.798983024432943,0.0,0.0,13.98778673428208,41.64328595956861,56.92373602784897,204.46173423944518,6162,0,0,13.670561,75.958244,0.06549098,0.56200284,1.4287999,257.49442,629.25195,11135.023,0,0,0,19.978052,17.727844,0.1,3.86,14.17,88.810005,145.66,308.40002,0,0,0,3.7445955,2.7620678,0.009062884,0.8772336,3.1222072,13.690003,27.155151,743.2434,0,0,0,1.0061901,0.9912023,0.004667444,0.4977612,0.8724739,2.6188116,7.975309,619.625,0,0,0,48.94652681067197,18.78944910811023,0.35768556775996585,19.358489727735783,43.89622706287312,119.57142693655831,178.20352304238395,4092.235251034007,6440,83,0,4.195803993223327,2.7432330549511135,0.0,0.8833333333333333,3.55,13.983333333333333,25.266666666666666,190.1,24397,123,0,2.248582906590031,2.5578094533847446,0.0,0.11666666666666667,1.5166666666666666,11.55,21.0,187.53333333333333,0,0,0,0,461990,0,148339,0,406304
2019-09-01,13460235,0,0,0,0,0,0,6.9327445,6.8441353,0.160934,0.80467,4.441778,32.074146,46.847885,119.92801,0,0,0,1119.8198493562704,786.4034559030708,60,194.0,911.0,3948.0,5863.0,15000,0,0,0,18.66366415593784,13.106724265051337,1.0,3.2333333333333334,15.183333333333334,65.8,97.71666666666667,250.0,0,0,0,16.901913,14.51083,0.1,2.99,12.15,71.41,119.98,287.73,0,0,0,15.131873,12.502533,0.01,3.66,11.09,63.34,102.08,199.93,0,11820804,0,0.51447874,1.9010614,0.0,0.0,0.0,9.77,19.11,100.0,0,12278740,0,0.627313,2.4849522,0.0,0.0,0.0,6.12,23.45,49.92,0,7649175,0,1.0953903,1.3204403,0.0,0.0,0.0,2.75,2.75,2.75,0,13460235,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7013908,0,0.21716441,0.36727718,0.0,0.0,0.0,1.74,2.95,9.11,0,13460235,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,291207,0,1.4776993,1.2994345,0.0,0.0,1.05,6.34,10.53,25.51,0,0,0,21.06227790846589,10.496497628427102,1.0012023116586395,6.035715713457305,18.438838129458222,56.029066088112515,68.47009531804159,99.7548831462534,6796,845457,0,14.583517570602421,8.792224382258446,0.0,0.0,13.297107616030523,41.50908206825825,56.29969282848079,257.6925419303528,6796,0,0,13.742178,77.363556,0.046694715,0.5650336,1.4292815,257.49442,651.7827,11992.801,0,0,0,20.833958,18.337997,0.11,3.8999999,14.84,91.619995,149.73001,394.37997,0,0,0,3.940033,2.9038453,0.00624426,0.9111199,3.2740073,14.37608,28.314182,733.3467,0,0,0,0.990668,0.962096,0.00065231574,0.50671786,0.8400809,2.6653697,8.0,440.0909,0,0,0,47.64533053118179,17.80585577134105,0.08823529214543455,19.281898549473247,42.88173614892446,115.44444825914171,175.41105118265912,1197.6428031921387,6889,84,0,4.402146583707379,2.836723704460482,0.0,0.9,3.6999999999999997,14.383333333333333,24.28333333333333,184.56666666666666,26556,154,0,2.4753842698886386,2.6996568105954095,0.0,0.1,1.7,12.033333333333333,20.85,181.41666666666666,0,0,0,0,97500,0,52809,0,480268
2019-10-01,13986805,0,0,0,0,0,0,6.715795,6.730058,0.160934,0.7885766,4.2486577,31.703999,46.68695,119.26819,0,0,0,1088.160488903649,750.6544194643228,60,190.0,892.0,3749.0,5542.0,14793,0,0,0,18.136008148394147,12.510906991071591,1.0,3.1666666666666665,14.866666666666667,62.483333333333334,92.36666666666666,246.54999999999998,0,0,0,16.59093,14.249282,0.1,2.85,11.91,70.48,117.82,288.81,0,0,0,14.314109,11.074694,0.02,3.82,10.81,55.69,88.62,197.98,0,12211465,0,0.54073155,1.9575641,0.0,0.0,0.0,10.0,19.62,100.0,0,12805615,0,0.6124812,2.4779186,0.0,0.0,0.0,6.12,23.45,49.92,0,7919615,0,1.1152952,1.3285242,0.0,0.0,0.0,2.75,2.75,2.75,0,13986805,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,212930,0,0.4430735,0.4119918,0.0,0.0,0.31,2.09,3.38,11.46,0,13986805,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,298923,0,1.4739228,1.2945851,0.0,0.0,1.05,6.34,10.55,28.85,0,0,0,20.83577964404723,10.46584480597172,1.0015572480698849,5.943602774995857,18.252639860195053,55.56821005684989,68.03876616496562,99.44880941639776,8622,932438,0,14.427693074217043,8.822005611342078,0.0,0.0,13.16096015598463,41.25958175110302,56.572391568999926,413.31820280655575,8622,0,0,14.13183,76.05381,0.048316453,0.55646825,1.4290365,257.49442,640.5173,11926.819,0,0,0,20.776434,18.311375,0.1,3.82,14.79,91.630005,148.28001,388.85,0,0,0,4.116346,3.099767,0.010804728,0.8898533,3.3785143,15.397842,29.953648,804.9624,0,0,0,0.98097795,0.9568496,0.00014674233,0.50725746,0.8179059,2.6309226,7.945454,386.18182,0,0,0,46.87027852768306,16.897070836861452,0.023161054597043082,20.02444931813732,42.49704152169313,110.99110159039145,176.2258114353303,1464.2017268333116,8197,144,0,4.263925832243096,2.834246958671675,0.0,0.8833333333333333,3.5833333333333335,14.066666666666666,26.583333333333332,201.31666666666666,32270,161,0,2.3739463323810743,2.6961632169207586,0.0,0.1,1.6333333333333333,11.766666666666666,23.066666666666666,201.31666666666666,0,0,0,0,1011790,0,241597,0,565359
2019-11-01,15098569,0,0,0,0,0,0,6.5720916,6.5943375,0.160934,0.77248317,4.200377,31.47869,46.606483,119.686615,0,0,0,1051.478995393537,723.8333837778351,60,185.0,865.0,3644.0,5422.0,14397,0,0,0,17.524649923225617,12.063889729630217,1.0,3.0833333333333335,14.416666666666666,60.733333333333334,90.36666666666666,239.95,0,0,0,15.250595,13.660662,0.1,2.75,10.7,68.05,113.26,296.49,0,0,0,14.025967,10.595082,0.02,4.33,10.78,54.05,85.19,199.9,0,13240204,0,0.49949166,1.8620133,0.0,0.0,0.0,9.41,19.08,100.0,0,13929797,0,0.56480825,2.422559,0.0,0.0,0.0,6.12,25.0,49.92,0,9086705,0,1.0303711,1.3127592,0.0,0.0,0.0,2.75,2.75,2.75,0,15098569,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,235788,0,0.5671757,0.706727,0.0,0.0,0.34,3.57,7.09,15.0,0,15098569,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,317243,0,1.3663311,1.2480557,0.0,0.0,0.95,6.15,10.21,28.55,0,0,0,21.092574026197664,10.590569821617933,1.0003379180276994,6.1529186160065406,18.413332615483228,56.24549138406835,68.72223996101542,97.81793017720067,8452,1084018,0,14.611546884742452,8.975596142901642,0.0,0.0,13.374309866354295,41.868551547250775,57.561446898105,298.8683831201841,8452,0,0,14.889013,76.306335,0.026279397,0.5461094,1.4269797,260.71307,646.9547,11946.132,0,0,0,19.278772,17.749931,0.11,3.54,13.42,89.44,145.22,437.96997,0,0,0,3.8727596,3.0390227,0.011287061,0.8518434,3.113657,14.824425,28.51845,938.39734,0,0,0,1.0846037,1.0012419,0.00031790437,0.52100843,0.90153843,2.8446326,8.453522,322.64285,0,0,0,47.82365572010506,17.279839779358312,0.05030743507048883,21.157084311028182,43.120877611768115,113.67856775011336,181.95033364048393,3578.2886937721487,10040,138,0,4.2969866634006095,2.626872072183235,0.0,0.9333333333333333,3.683333333333333,13.45,23.3,243.41666666666666,31914,142,0,2.56747250136145,2.5736814419900242,0.0,0.1,1.9,11.516666666666666,20.966666666666665,238.15,0,0,0,0,315933,0,0,0,631728
